"","participant","figure2","agegroup","textbox_comp.text","Type","Time","total_ss_answer","label2","type","accurate"
"10722","508691","resources/real_fg_memory_images/fg3.jpg","Older",6,"artificial","Pre",27,"Scam","artificial",1
"10723","508691","resources/real_fg_memory_images/fg4.jpg","Older",8,"artificial","Post",27,"Scam","artificial",0
"10724","508691","resources/real_fg_memory_images/fg4.jpg","Older",8,"artificial","Pre",27,"Scam","artificial",0
"10725","508691","resources/real_fg_memory_images/fg5.jpg","Older",5,"artificial","Pre",27,"Scam","artificial",1
"10726","508691","resources/real_fg_memory_images/fg5.jpg","Older",2,"artificial","Post",27,"Scam","artificial",1
"10727","508691","resources/real_fg_memory_images/fg6.jpg","Older",8,"artificial","Pre",27,"Scam","artificial",0
"10728","508691","resources/real_fg_memory_images/fg6.jpg","Older",7,"artificial","Post",27,"Scam","artificial",0
"10729","508691","resources/real_fg_memory_images/fg7.jpg","Older",3,"artificial","Post",27,"Neutral","artificial",0
"10730","508691","resources/real_fg_memory_images/fg7.jpg","Older",6,"artificial","Pre",27,"Neutral","artificial",0
"10731","508691","resources/real_fg_memory_images/fg8.jpg","Older",3,"artificial","Post",27,"Neutral","artificial",0
"10732","508691","resources/real_fg_memory_images/fg8.jpg","Older",7,"artificial","Pre",27,"Neutral","artificial",0
"10733","508691","resources/real_fg_memory_images/fg9.jpg","Older",5,"artificial","Pre",27,"Neutral","artificial",0
"10734","508691","resources/real_fg_memory_images/fg9.jpg","Older",6,"artificial","Post",27,"Neutral","artificial",0
"10735","508691","resources/real_fg_memory_images/orig19.jpg","Older",4,"real","Post",27,"Scam","real",0
"10736","508691","resources/real_fg_memory_images/orig19.jpg","Older",6,"real","Pre",27,"Scam","real",0
"10737","508691","resources/real_fg_memory_images/orig20.jpg","Older",4,"real","Post",27,"Scam","real",0
"10738","508691","resources/real_fg_memory_images/orig20.jpg","Older",4,"real","Pre",27,"Scam","real",0
"10739","508691","resources/real_fg_memory_images/orig21.jpg","Older",6,"real","Pre",27,"Scam","real",0
"10740","508691","resources/real_fg_memory_images/orig21.jpg","Older",4,"real","Post",27,"Scam","real",0
"10741","508691","resources/real_fg_memory_images/orig22.jpg","Older",7,"real","Pre",27,"Scam","real",0
"10742","508691","resources/real_fg_memory_images/orig22.jpg","Older",4,"real","Post",27,"Scam","real",0
"10743","508691","resources/real_fg_memory_images/orig23.jpg","Older",3,"real","Post",27,"Scam","real",1
"10744","508691","resources/real_fg_memory_images/orig23.jpg","Older",8,"real","Pre",27,"Scam","real",1
"10745","508691","resources/real_fg_memory_images/orig24.jpg","Older",7,"real","Pre",27,"Scam","real",1
"10746","508691","resources/real_fg_memory_images/orig24.jpg","Older",7,"real","Post",27,"Scam","real",1
"10747","508691","resources/real_fg_memory_images/orig25.jpg","Older",7,"real","Pre",27,"Neutral","real",1
"10748","508691","resources/real_fg_memory_images/orig25.jpg","Older",5,"real","Post",27,"Neutral","real",1
"10749","508691","resources/real_fg_memory_images/orig26.jpg","Older",7,"real","Pre",27,"Neutral","real",1
"10750","508691","resources/real_fg_memory_images/orig26.jpg","Older",4,"real","Post",27,"Neutral","real",1
"10751","508691","resources/real_fg_memory_images/orig27.jpg","Older",5,"real","Pre",27,"Neutral","real",0
"10752","508691","resources/real_fg_memory_images/orig27.jpg","Older",7,"real","Post",27,"Neutral","real",0
"10753","508691","resources/real_fg_memory_images/orig28.jpg","Older",8,"real","Pre",27,"Neutral","real",1
"10754","508691","resources/real_fg_memory_images/orig28.jpg","Older",9,"real","Post",27,"Neutral","real",1
"10755","508691","resources/real_fg_memory_images/orig29.jpg","Older",7,"real","Pre",27,"Neutral","real",1
"10756","508691","resources/real_fg_memory_images/orig29.jpg","Older",8,"real","Post",27,"Neutral","real",1
"10757","508691","resources/real_fg_memory_images/orig30.jpg","Older",8,"real","Post",27,"Neutral","real",1
"10758","508691","resources/real_fg_memory_images/orig30.jpg","Older",5,"real","Pre",27,"Neutral","real",1
"10759","508691","resources/real_fg_memory_images/orig31.jpg","Older",6,"real","Pre",27,"None",NA,NA
"10760","508691","resources/real_fg_memory_images/orig31.jpg","Older",5,"real","Post",27,"None",NA,NA
