"","participant","figure2","label2","type","total_ss_answer","accurate","agegroup","total_ss_answer_c"
"218","482395","resources/real_fg_memory_images/fg2.jpg","Scam","artificial",20,1,"Young",-5.63541666666667
"219","482395","resources/real_fg_memory_images/fg8.jpg","Neutral","artificial",20,0,"Young",-5.63541666666667
"220","482395","resources/real_fg_memory_images/fg11.jpg","Neutral","artificial",20,0,"Young",-5.63541666666667
"221","482395","resources/real_fg_memory_images/fg1.jpg","Scam","artificial",20,1,"Young",-5.63541666666667
"222","482395","resources/real_fg_memory_images/fg3.jpg","Scam","artificial",20,1,"Young",-5.63541666666667
"223","482395","resources/real_fg_memory_images/fg9.jpg","Neutral","artificial",20,1,"Young",-5.63541666666667
"224","482395","resources/real_fg_memory_images/orig26.jpg","Neutral","real",20,1,"Young",-5.63541666666667
"225","482395","resources/real_fg_memory_images/fg5.jpg","Scam","artificial",20,1,"Young",-5.63541666666667
"226","482395","resources/real_fg_memory_images/fg4.jpg","Scam","artificial",20,1,"Young",-5.63541666666667
"227","482395","resources/real_fg_memory_images/orig29.jpg","Neutral","real",20,1,"Young",-5.63541666666667
"228","482395","resources/real_fg_memory_images/orig24.jpg","Scam","real",20,0,"Young",-5.63541666666667
"229","482395","resources/real_fg_memory_images/orig23.jpg","Scam","real",20,0,"Young",-5.63541666666667
"230","482395","resources/real_fg_memory_images/orig28.jpg","Neutral","real",20,1,"Young",-5.63541666666667
"231","482395","resources/real_fg_memory_images/orig20.jpg","Scam","real",20,0,"Young",-5.63541666666667
"232","482395","resources/real_fg_memory_images/orig27.jpg","Neutral","real",20,1,"Young",-5.63541666666667
"233","482395","resources/real_fg_memory_images/fg6.jpg","Scam","artificial",20,1,"Young",-5.63541666666667
"234","482395","resources/real_fg_memory_images/orig19.jpg","Scam","real",20,0,"Young",-5.63541666666667
"235","482395","resources/real_fg_memory_images/fg12.jpg","Neutral","artificial",20,0,"Young",-5.63541666666667
"236","482395","resources/real_fg_memory_images/orig30.jpg","Neutral","real",20,0,"Young",-5.63541666666667
