participant,figure2,agegroup,textbox_comp.text,Type,Time,total_ss_answer.x,label2,type,total_ss_answer.y,accurate
185163,resources/real_fg_memory_images/fg20.jpg,Young,3,artificial,Post,28,Scam,artificial,28,0
185163,resources/real_fg_memory_images/fg20.jpg,Young,4,artificial,Pre,28,Scam,artificial,28,0
185163,resources/real_fg_memory_images/fg21.jpg,Young,4,artificial,Post,28,Scam,artificial,28,0
185163,resources/real_fg_memory_images/fg21.jpg,Young,5,artificial,Pre,28,Scam,artificial,28,0
185163,resources/real_fg_memory_images/fg23.jpg,Young,4,artificial,Pre,28,Scam,artificial,28,0
185163,resources/real_fg_memory_images/fg23.jpg,Young,4,artificial,Post,28,Scam,artificial,28,0
185163,resources/real_fg_memory_images/fg24.jpg,Young,4,artificial,Pre,28,Scam,artificial,28,0
185163,resources/real_fg_memory_images/fg24.jpg,Young,3,artificial,Post,28,Scam,artificial,28,0
185163,resources/real_fg_memory_images/orig10.jpg,Young,6,real,Pre,28,Neutral,real,28,0
185163,resources/real_fg_memory_images/orig10.jpg,Young,6,real,Post,28,Neutral,real,28,0
185163,resources/real_fg_memory_images/orig12.jpg,Young,6,real,Post,28,Neutral,real,28,0
185163,resources/real_fg_memory_images/orig12.jpg,Young,7,real,Pre,28,Neutral,real,28,0
185163,resources/real_fg_memory_images/orig3.jpg,Young,8,real,Pre,28,Scam,real,28,0
185163,resources/real_fg_memory_images/orig3.jpg,Young,6,real,Post,28,Scam,real,28,0
185163,resources/real_fg_memory_images/orig5.jpg,Young,5,real,Post,28,Scam,real,28,0
185163,resources/real_fg_memory_images/orig5.jpg,Young,5,real,Pre,28,Scam,real,28,0
185163,resources/real_fg_memory_images/orig8.jpg,Young,8,real,Pre,28,Neutral,real,28,0
185163,resources/real_fg_memory_images/orig8.jpg,Young,5,real,Post,28,Neutral,real,28,0
204436,resources/real_fg_memory_images/fg1.jpg,Young,7,artificial,Pre,24,Neutral,artificial,24,0
204436,resources/real_fg_memory_images/fg1.jpg,Young,7,artificial,Post,24,Neutral,artificial,24,0
204436,resources/real_fg_memory_images/fg12.jpg,Young,5,artificial,Pre,24,Scam,artificial,24,0
204436,resources/real_fg_memory_images/fg12.jpg,Young,4,artificial,Post,24,Scam,artificial,24,0
204436,resources/real_fg_memory_images/fg4.jpg,Young,4,artificial,Post,24,Neutral,artificial,24,0
204436,resources/real_fg_memory_images/fg4.jpg,Young,2,artificial,Pre,24,Neutral,artificial,24,0
204436,resources/real_fg_memory_images/fg6.jpg,Young,3,artificial,Post,24,Neutral,artificial,24,0
204436,resources/real_fg_memory_images/fg6.jpg,Young,3,artificial,Pre,24,Neutral,artificial,24,0
204436,resources/real_fg_memory_images/orig19.jpg,Young,5,real,Pre,24,Neutral,real,24,0
204436,resources/real_fg_memory_images/orig19.jpg,Young,7,real,Post,24,Neutral,real,24,0
204436,resources/real_fg_memory_images/orig20.jpg,Young,4,real,Pre,24,Neutral,real,24,0
204436,resources/real_fg_memory_images/orig20.jpg,Young,6,real,Post,24,Neutral,real,24,0
204436,resources/real_fg_memory_images/orig24.jpg,Young,6,real,Pre,24,Neutral,real,24,0
204436,resources/real_fg_memory_images/orig24.jpg,Young,7,real,Post,24,Neutral,real,24,0
204436,resources/real_fg_memory_images/orig25.jpg,Young,5,real,Post,24,Scam,real,24,0
204436,resources/real_fg_memory_images/orig25.jpg,Young,3,real,Pre,24,Scam,real,24,0
204436,resources/real_fg_memory_images/orig28.jpg,Young,8,real,Pre,24,Scam,real,24,0
204436,resources/real_fg_memory_images/orig28.jpg,Young,9,real,Post,24,Scam,real,24,0
204436,resources/real_fg_memory_images/orig29.jpg,Young,4,real,Pre,24,Scam,real,24,0
204436,resources/real_fg_memory_images/orig29.jpg,Young,7,real,Post,24,Scam,real,24,0
204436,resources/real_fg_memory_images/orig30.jpg,Young,8,real,Pre,24,Scam,real,24,0
204436,resources/real_fg_memory_images/orig30.jpg,Young,10,real,Post,24,Scam,real,24,0
217095,resources/real_fg_memory_images/fg10.jpg,Young,3,artificial,Post,27,Neutral,artificial,27,0
217095,resources/real_fg_memory_images/fg10.jpg,Young,6,artificial,Pre,27,Neutral,artificial,27,0
217095,resources/real_fg_memory_images/fg11.jpg,Young,4,artificial,Post,27,Neutral,artificial,27,0
217095,resources/real_fg_memory_images/fg11.jpg,Young,5,artificial,Pre,27,Neutral,artificial,27,0
217095,resources/real_fg_memory_images/fg12.jpg,Young,1,artificial,Post,27,Neutral,artificial,27,0
217095,resources/real_fg_memory_images/fg12.jpg,Young,4,artificial,Pre,27,Neutral,artificial,27,0
217095,resources/real_fg_memory_images/fg3.jpg,Young,5,artificial,Pre,27,Scam,artificial,27,0
217095,resources/real_fg_memory_images/fg3.jpg,Young,2,artificial,Post,27,Scam,artificial,27,0
217095,resources/real_fg_memory_images/fg7.jpg,Young,4,artificial,Pre,27,Neutral,artificial,27,0
217095,resources/real_fg_memory_images/fg7.jpg,Young,2,artificial,Post,27,Neutral,artificial,27,0
217095,resources/real_fg_memory_images/fg8.jpg,Young,7,artificial,Pre,27,Neutral,artificial,27,0
217095,resources/real_fg_memory_images/fg8.jpg,Young,2,artificial,Post,27,Neutral,artificial,27,0
217095,resources/real_fg_memory_images/fg9.jpg,Young,5,artificial,Pre,27,Neutral,artificial,27,0
217095,resources/real_fg_memory_images/fg9.jpg,Young,4,artificial,Post,27,Neutral,artificial,27,0
217095,resources/real_fg_memory_images/orig19.jpg,Young,8,real,Post,27,Scam,real,27,0
217095,resources/real_fg_memory_images/orig19.jpg,Young,6,real,Pre,27,Scam,real,27,0
217095,resources/real_fg_memory_images/orig22.jpg,Young,5,real,Post,27,Scam,real,27,0
217095,resources/real_fg_memory_images/orig22.jpg,Young,8,real,Pre,27,Scam,real,27,0
217095,resources/real_fg_memory_images/orig23.jpg,Young,7,real,Pre,27,Scam,real,27,0
217095,resources/real_fg_memory_images/orig23.jpg,Young,8,real,Post,27,Scam,real,27,0
217095,resources/real_fg_memory_images/orig24.jpg,Young,8,real,Post,27,Scam,real,27,0
217095,resources/real_fg_memory_images/orig24.jpg,Young,8,real,Pre,27,Scam,real,27,0
217095,resources/real_fg_memory_images/orig26.jpg,Young,5,real,Post,27,Neutral,real,27,0
217095,resources/real_fg_memory_images/orig26.jpg,Young,6,real,Pre,27,Neutral,real,27,0
232451,resources/real_fg_memory_images/fg1.jpg,Young,1,artificial,Pre,26,Neutral,artificial,26,0
232451,resources/real_fg_memory_images/fg1.jpg,Young,3,artificial,Post,26,Neutral,artificial,26,0
232451,resources/real_fg_memory_images/fg11.jpg,Young,5,artificial,Post,26,Scam,artificial,26,0
232451,resources/real_fg_memory_images/fg11.jpg,Young,6,artificial,Pre,26,Scam,artificial,26,0
232451,resources/real_fg_memory_images/fg2.jpg,Young,7,artificial,Pre,26,Neutral,artificial,26,0
