"","participant","label2","Time","Type","textbox_comp.text"
"372","312343","Scam","Pre","real",5.83333333333333
"373","320991","Neutral","Post","artificial",5.66666666666667
"374","320991","Neutral","Post","real",6.16666666666667
"375","320991","Neutral","Pre","artificial",4.33333333333333
"376","320991","Neutral","Pre","real",5.16666666666667
"377","320991","None","Post","artificial",3.66666666666667
"378","320991","None","Post","real",4.16666666666667
"379","320991","None","Pre","artificial",4.83333333333333
"380","320991","None","Pre","real",5.16666666666667
"381","320991","Scam","Post","artificial",2.66666666666667
"382","320991","Scam","Post","real",3.66666666666667
"383","320991","Scam","Pre","artificial",4.33333333333333
"384","320991","Scam","Pre","real",4.66666666666667
"385","324807","Neutral","Post","artificial",2.83333333333333
"386","324807","Neutral","Post","real",2.33333333333333
"387","324807","Neutral","Pre","artificial",3
"388","324807","Neutral","Pre","real",1.6
"389","324807","None","Post","artificial",2.66666666666667
"390","324807","None","Post","real",4.66666666666667
"391","324807","None","Pre","artificial",3.66666666666667
"392","324807","None","Pre","real",2.66666666666667
"393","324807","Scam","Post","artificial",1.5
"394","324807","Scam","Post","real",6.5
"395","324807","Scam","Pre","artificial",2.33333333333333
"396","324807","Scam","Pre","real",2.5
"397","325832","Neutral","Post","artificial",4
"398","325832","Neutral","Post","real",4.16666666666667
"399","325832","Neutral","Pre","artificial",5.33333333333333
"400","325832","Neutral","Pre","real",5
"401","325832","None","Post","artificial",5.83333333333333
"402","325832","None","Post","real",5
"403","325832","None","Pre","artificial",5.66666666666667
"404","325832","None","Pre","real",4.5
"405","325832","Scam","Post","artificial",4
"406","325832","Scam","Post","real",5.16666666666667
"407","325832","Scam","Pre","artificial",5
"408","325832","Scam","Pre","real",4.33333333333333
"409","327982","Neutral","Post","artificial",5.33333333333333
"410","327982","Neutral","Post","real",4.83333333333333
"411","327982","Neutral","Pre","artificial",3.83333333333333
"412","327982","Neutral","Pre","real",5.66666666666667
"413","327982","None","Post","artificial",5.33333333333333
"414","327982","None","Post","real",3.66666666666667
"415","327982","None","Pre","artificial",6.66666666666667
"416","327982","None","Pre","real",6.33333333333333
"417","327982","Scam","Post","artificial",4.83333333333333
"418","327982","Scam","Post","real",0.5
"419","327982","Scam","Pre","artificial",3.33333333333333
"420","327982","Scam","Pre","real",6.5
"421","337188","Neutral","Post","artificial",6
"422","337188","Neutral","Post","real",7
"423","337188","Neutral","Pre","artificial",6
"424","337188","Neutral","Pre","real",6.83333333333333
"425","337188","None","Post","artificial",6.83333333333333
"426","337188","None","Post","real",5.83333333333333
"427","337188","None","Pre","artificial",6.83333333333333
"428","337188","None","Pre","real",6.33333333333333
"429","337188","Scam","Post","artificial",5.5
"430","337188","Scam","Post","real",5
"431","337188","Scam","Pre","artificial",6.66666666666667
"432","337188","Scam","Pre","real",6.16666666666667
"433","357269","Neutral","Post","artificial",5
"434","357269","Neutral","Post","real",5.33333333333333
"435","357269","Neutral","Pre","artificial",3.16666666666667
"436","357269","Neutral","Pre","real",4
"437","357269","None","Post","artificial",4.83333333333333
"438","357269","None","Post","real",5.83333333333333
"439","357269","None","Pre","artificial",3.83333333333333
"440","357269","None","Pre","real",3.33333333333333
"441","357269","Scam","Post","artificial",5
"442","357269","Scam","Post","real",5
"443","357269","Scam","Pre","artificial",3
"444","357269","Scam","Pre","real",4.66666666666667
"445","362267","Neutral","Post","artificial",5.5
"446","362267","Neutral","Post","real",6
"447","362267","Neutral","Pre","artificial",4.66666666666667
"448","362267","Neutral","Pre","real",5.5
"449","362267","None","Post","artificial",5.66666666666667
"450","362267","None","Post","real",5
"451","362267","None","Pre","artificial",6.66666666666667
"452","362267","None","Pre","real",6
"453","362267","Scam","Post","artificial",5.5
"454","362267","Scam","Post","real",4
"455","362267","Scam","Pre","artificial",5.66666666666667
"456","362267","Scam","Pre","real",4.5
"457","372802","Neutral","Post","artificial",4.5
"458","372802","Neutral","Post","real",9
"459","372802","Neutral","Pre","artificial",4.33333333333333
"460","372802","Neutral","Pre","real",6.66666666666667
"461","372802","None","Post","artificial",6.5
"462","372802","None","Post","real",5.66666666666667
"463","372802","None","Pre","artificial",3
"464","372802","None","Pre","real",4.33333333333333
"465","372802","Scam","Post","artificial",4
"466","372802","Scam","Post","real",4.66666666666667
"467","372802","Scam","Pre","artificial",3
"468","372802","Scam","Pre","real",6
"469","385025","Neutral","Post","artificial",4.16666666666667
"470","385025","Neutral","Post","real",3.66666666666667
"471","385025","Neutral","Pre","artificial",4.83333333333333
"472","385025","Neutral","Pre","real",2.83333333333333
"473","385025","None","Post","artificial",3.66666666666667
"474","385025","None","Post","real",6.83333333333333
"475","385025","None","Pre","artificial",5
"476","385025","None","Pre","real",5.5
"477","385025","Scam","Post","artificial",4.5
"478","385025","Scam","Post","real",3.66666666666667
"479","385025","Scam","Pre","artificial",3.83333333333333
"480","385025","Scam","Pre","real",4.16666666666667
"481","398217","Neutral","Post","artificial",1.5
"482","398217","Neutral","Post","real",9.16666666666667
"483","398217","Neutral","Pre","artificial",5.33333333333333
"484","398217","Neutral","Pre","real",5
"485","398217","None","Post","artificial",5.16666666666667
"486","398217","None","Post","real",6.6
"487","398217","None","Pre","artificial",5.83333333333333
"488","398217","None","Pre","real",6.16666666666667
"489","398217","Scam","Post","artificial",3.33333333333333
"490","398217","Scam","Post","real",6.16666666666667
"491","398217","Scam","Pre","artificial",4.83333333333333
"492","398217","Scam","Pre","real",6.66666666666667
"493","425851","Neutral","Post","artificial",1.66666666666667
"494","425851","Neutral","Post","real",6.66666666666667
"495","425851","Neutral","Pre","artificial",5
"496","425851","Neutral","Pre","real",8.33333333333333
